"","name","plrNum","year","rounds","average score"
"191","CHESSO HADLEY","34563",2014,4,73.25
"192","GREG CHALME","20593",2014,4,73.25
"193","J.J. KILLEE","31558",2012,4,73.25
"194","JEFF MAGGER","01724",2014,4,73.25
"195","KEVIN KISNER","29478",2012,4,73.25
"196","MIKE WEIR","10423",2014,4,73.25
"197","PAUL STANKO","08375",2012,4,73.25
"198","RYAN PALMER","23320",2014,4,73.25
"199","SCOTT LANGLE","34261",2013,4,73.25
"200","CHAD CAMPBE","12510",2012,4,73.5
"201","GARRET WILLIS","20436",2012,4,73.5
"202","J.J. HENRY","23353",2013,2,73.5
"203","JAMES HAHN","32448",2013,2,73.5
"204","JERRY KELLY","08075",2013,2,73.5
"205","JIN PARK","20443",2013,2,73.5
"206","JOHN HUH","34174",2013,4,73.5
"207","JONATH BYRD","24925",2013,2,73.5
"208","JORDAN SPIETH","34046",2013,2,73.5
"209","KYLE REIFER","29476",2012,4,73.5
"210","LEE WILLIA","28310",2013,2,73.5
"211","MORGAN HOFFMA","33461",2014,2,73.5
"212","PHIL MICKEL","01810",2014,2,73.5
"213","RICHAR LEE","35139",2014,4,73.5
"214","RICKY BARNES","24846",2012,4,73.5
"215","ROBERT ALLENB","10885",2013,2,73.5
"216","SCOTT LANGLE","34261",2012,4,73.5
"217","TIM PETROV","01948",2013,2,73.5
"218","TIM WILKIN","25349",2014,4,73.5
"219","TOM GILLIS","08725",2013,2,73.5
"220","TOMMY BIERSH","23542",2012,4,73.5
"221","ZACK FISCHE","39412",2013,2,73.5
"222","ALEX PRUGH","30946",2014,3,73.6666666666667
"223","CHARLI WI","20160",2014,3,73.6666666666667
"224","GARY WOODLA","31323",2013,3,73.6666666666667
"225","JOHN PETERS","35541",2013,3,73.6666666666667
"226","JOHNSO WAGNER","26951",2013,3,73.6666666666667
"227","ROBERT STREB","34431",2014,3,73.6666666666667
"228","STUART APPLEB","20098",2014,3,73.6666666666667
"229","WES SHORT","07013",2013,3,73.6666666666667
"230","BILLY MAYFAI","01766",2012,4,73.75
"231","BOBBY GATES","32698",2012,4,73.75
"232","GARTH MULROY","27302",2012,4,73.75
"233","GRAHAM DELAET","27436",2012,4,73.75
"234","J.B. HOLMES","27141",2014,4,73.75
"235","LUKE GUTHRI","35539",2014,4,73.75
"236","PAUL HALEY","35901",2013,4,73.75
"237","SCOTT GARDIN","24399",2014,4,73.75
"238","AARON BADDEL","22371",2014,4,74
"239","BRANDT JOBE","06573",2013,2,74
"240","BRYCE MOLDER","23800",2014,1,74
"241","COLT KNOST","30711",2013,2,74
"242","D.H. LEE","28092",2013,2,74
"243","D.H. LEE","28092",2014,2,74
"244","DANIEL CHOPRA","20850",2014,2,74
"245","DAVID DUVAL","09011",2012,4,74
"246","DAVID LINGME","34409",2013,2,74
"247","EDWARD LOAR","24940",2014,2,74
"248","ERNIE ELS","06522",2014,2,74
"249","HARRIS FRAZAR","21805",2012,4,74
"250","HARRIS FRAZAR","21805",2014,2,74
"251","HUNTER BROWN","40216",2014,2,74
"252","JAMIE DONALD","25369",2013,2,74
"253","JIM HERMAN","31557",2014,3,74
"254","JIM RENNER","31193",2014,2,74
"255","JOHN HUH","34174",2014,2,74
"256","JOHN PETERS","35541",2014,4,74
"257","JOHN ROLLIN","22913",2014,2,74
"258","JUSTIN HICKS","25444",2013,2,74
"259","KYLE STANLE","30110",2013,3,74
"260","MARCO DAWSON","06034",2012,4,74
"261","MARK WILSON","21878",2014,2,74
"262","NICK THOMPS","28780",2014,2,74
"263","NICOLA COLSAE","23452",2014,2,74
"264","ROBERT ALLENB","10885",2014,2,74
"265","SCOTT GARDIN","24399",2013,2,74
"266","SEAN O'HAIR","24140",2014,2,74
"267","CAMERO BECKMA","12652",2012,4,74.25
"268","CHARLI BELJAN","32334",2014,4,74.25
"269","DANNY LEE","29926",2012,4,74.25
"270","FRED FUNK","01381",2014,4,74.25
"271","STEPHE AMES","06004",2012,4,74.25
"272","WILL CLAXTO","28455",2012,4,74.25
"273","JUSTIN BOLLI","24227",2013,3,74.3333333333333
"274","MATT EVERY","28307",2013,3,74.3333333333333
"275","ALEX ARAGON","25936",2014,4,74.5
"276","ANDRES GONZAL","29720",2013,2,74.5
"277","BEN CRANE","23541",2014,2,74.5
"278","BILLY MAYFAI","01766",2013,2,74.5
"279","BOBBY GATES","32698",2013,2,74.5
"280","BRINY BAIRD","20498",2012,4,74.5
"281","CRAIG BARLOW","19824",2012,2,74.5
"282","DAVID LINGME","34409",2014,2,74.5
"283","DAVID TOMS","02206",2014,2,74.5
"284","DICKY PRIDE","10213",2013,2,74.5
"285","DUFFY WALDOR","02246",2013,2,74.5
"286","GARY CHRIST","23204",2013,2,74.5
"287","GONZAL FDEZ-C","25191",2013,2,74.5
"288","HANK KUEHNE","23552",2012,4,74.5
"289","HARRIS ENGLIS","34099",2012,4,74.5
"290","JASON GORE","22892",2012,2,74.5
"291","JASON KOKRAK","30944",2012,2,74.5
"292","JOSH TEATER","27330",2012,2,74.5
"293","KYLE STANLE","30110",2014,2,74.5
"294","LONNY ALEXAN","27676",2012,2,74.5
"295","MARTIN LAIRD","27936",2014,2,74.5
"296","MATT BETTEN","20070",2014,2,74.5
"297","MIKE MILLER","46045",2014,2,74.5
"298","MORGAN HOFFMA","33461",2013,2,74.5
"299","PADRAI HARRIN","20766",2014,2,74.5
"300","PATRIC REED","34360",2013,2,74.5
"301","ROSS FISHER","27896",2013,2,74.5
"302","SHAUN MICHEE","06515",2012,4,74.5
"303","STEVE WHEATC","25892",2012,2,74.5
"304","TED POTTER","27556",2014,2,74.5
"305","TOMMY GAINEY","30750",2013,2,74.5
"306","TROY MATTES","27120",2012,2,74.5
"307","VAUGHN TAYLOR","23325",2012,2,74.5
"308","WOODY AUSTIN","07867",2012,2,74.5
"309","WOODY AUSTIN","07867",2014,2,74.5
"310","CAMILO VILLEG","27770",2014,3,74.6666666666667
"311","TYRONE VAN AS","28132",2014,3,74.6666666666667
"312","BRANDT JOBE","06573",2012,2,75
"313","BRENDA STEELE","29518",2014,2,75
"314","BUD CAULEY","34021",2014,2,75
"315","DANIEL CHOPRA","20850",2012,2,75
"316","DEREK LAMELY","27797",2014,2,75
"317","DUFFY WALDOR","02246",2012,2,75
"318","EDWARD LOAR","24940",2012,2,75
"319","GAVIN COLES","20623",2012,2,75
"320","HEATH SLOCUM","22293",2014,2,75
"321","HUNTER HAAS","24604",2013,2,75
"322","J.J. HENRY","23353",2014,2,75
"323","JAMES DRISCO","23409",2013,2,75
"324","JOE OGILVI","21949",2012,4,75
"325","K.J. CHOI","24357",2012,2,75
"326","K.J. CHOI","24357",2014,2,75
"327","KELLY KRAFT","35879",2012,2,75
"328","KEVIN KISNER","29478",2014,2,75
"329","LEE JANZEN","01577",2012,2,75
"330","PATRIC SHEEHA","22548",2012,4,75
"331","RYO ISHIKA","30852",2014,2,75
"332","SCOTT MCCARR","10585",2013,2,75
"333","TAG RIDING","23497",2013,2,75
"334","TIM PETROV","01948",2012,2,75
"335","VAUGHN TAYLOR","23325",2013,2,75
"336","WILLIA MCGIRT","31202",2012,2,75
"337","WILLIA OSBORN","36455",2012,2,75
"338","SCOTT DUNLAP","06036",2012,4,75.25
"339","TED PURDY","21959",2012,4,75.25
"340","BRENDO DE JON","23638",2012,3,75.3333333333333
"341","RICH BEEM","23614",2012,3,75.3333333333333
"342","ALEXAN ROCHA","25457",2012,2,75.5
"343","BENJAM ALVARA","31289",2014,2,75.5
"344","BILLY HORSCH","29420",2012,4,75.5
